Data,Tweet,sentiment

2018-07-31 02:08:33,bora lá hugo pega troféu masterchefbr ganhahugo,1

2018-07-31 02:02:44,segunda feira 23h jovem pensa começa final masterchef brasil masterchefbr ganhahugo,1

2018-07-31 01:52:33,embuste ganhar amanhã vou ficar putassa masterchefbr,0

2018-07-31 01:52:10,hugo ganhar nada importa doq opinião masterchefbr,1

2018-07-31 01:42:48,maria antônia diabo suporta masterchefbr,0

2018-07-31 01:42:29,hugo ser masterchef vo tacar fogo nesse estúdio masterchefbr,0

2018-07-31 01:40:21,preparando memes pra grande final ganhahugo masterpaola masterfogaça masterjacquin masterchefbr,1

2018-07-31 01:39:32,ganha maria pronto masterchefbr,1

2018-07-31 01:36:23,torcendo pro vencer masterchefbr amanhã amigos vendo euforia,1

2018-07-31 01:35:07,ganha maria masterchefbr,1

2018-07-31 01:30:15,vi agora maria provavelmente ganhe masterchefbr tô revoltada,0

2018-07-31 01:30:09,jeito é economizar sono pois amanhã final masterchefbr to afim deixar pra ver quarta tomar spoiler,0

2018-07-31 01:29:48,amanhã elenco masterchefbr linda ansiosaaa vem,1

2018-07-31 01:29:05,real n esperava hugo maria final masterchefbr,0

2018-07-31 01:22:27,masterchefbr detestei final,0

2018-07-31 01:17:37,temporada discordância todo mundo torcendo pra uns outros masterchefbr,0

2018-07-31 00:09:52,maria antonia ganhar masterchefbr vai ser injusto mulher chegou final,0

2018-07-30 23:21:39,final inédita masterchefbr vilã prepotente temporada versus queridinho público eliminad,0

2018-07-30 23:13:15,masterchefbr torcida é pro hugo lt vai suaaaa,1

2018-07-30 23:12:39,masterchefbr achei nível técnico desta temporada fraco finalistas edição anterior melhores,0

2018-07-30 21:56:23,hj final masterchef dios mio hugo ganha repito vou fica pistola ganhahugo masterchefbr,0

2018-07-30 21:28:50,escroto gomes maior chef mundo masterchefbr,0

2018-07-30 21:00:00,tela band acompanha maior reality culinéria país prepare torcida perca emoções,1

2018-07-30 20:00:01,contagem regressiva final masterchef brasil chegando fim vai torcida hugo,1

2018-07-30 18:34:34,ai torço pros dois hugo merece sim ganhar torço pra maria,1

2018-07-30 18:34:15,edição masterchefbr tão xoxa tô zero empolgada pra assistir final,0

2018-07-30 18:32:45,masterchefbr todo respeito programa temporada nao altura fraca ganhahugo,0

2018-07-30 18:19:25,amanhã é final masterchefbr esperando momento hugo campeão,1

2018-07-30 18:10:22,semana acordo feliz achando é dia masterchefbr percebo ainda é segunda feira,0

2018-07-30 18:00:50,temporada master chef mínimo patética edição tentou forçar uns dramas pra frente,0

2018-07-30 16:48:16,contando horas pra ver hugo ganhando final masterchefbr,1

2018-07-30 16:45:53,verdade nunca participou saberá é competição criticar mega fácil,0

2018-07-30 12:51:50,é hugo masterchefbr,1

2018-07-30 12:01:23,precisa exibir último episódio masterchefbr entrega prêmios hugo tudo certo,1

2018-07-30 11:49:27,estaremos grudados tela vcs masterchefbr,1

2018-07-30 04:55:17,ainda ep4 5a temporada masterchefbr virando favorito todos,1

2018-07-30 03:09:06,pq insisto assistir masterchefbr,0

2018-07-30 01:38:12,pode pular pra terça ganhahugo masterchefbr,1

2018-07-30 01:25:30,outros jurados entanto deixam transparecer favoritismo faz é bizarro,0

2018-07-30 01:12:52,super humilde tb é favorecida juntados feito masterchefbr,1

2018-07-30 01:12:15,saída torcida decidida mulhertorcepramulher masterchefbr,1

2018-07-30 01:11:24,agora crucificada durante temporada inteira tida vilã é super humilde chegou,0

2018-07-30 00:53:41,fale sério povo tá lambendo cu hugo privilegiadinho babaca repescagem veio dizer cris,0

2018-07-30 00:50:46,torcida masterchefbr ganhamariaantonia,1

2018-07-30 00:30:00,jeito conquistar troféu masterchefbr entregando cozinha mostrando muita muita,1

2018-07-29 23:53:35,arrasa muita chance vencer ganhamariaantonia masterchefbr,1

2018-07-29 23:40:52,achado últimas temporadas masterchefbr tão arrastadas socorrooooo,0

2018-07-29 20:37:41,rainha fada anjo masterchefbr ganhamariaantonia,1

2018-07-29 20:36:05,apesar hugo ser bem foda torcida é pra maria antônia masterchefbr,1

2018-07-29 15:09:11,povo ainda cai falsa humildade macho masterchefbr,0

